     7.000     0.957     0.753     0.377     0.074     0.721     0.098
     7.000     0.520     0.784     0.424     0.001     0.695     0.123
     7.000     0.331     0.785     0.437     0.283     0.667     0.123
     7.000     0.300     0.852     0.365     0.737     0.677     0.068
     7.000     0.796     0.758     0.413     0.531     0.685     0.070
     7.000     0.518     0.803     0.392     0.144     0.648     0.145
     7.000     0.542     0.758     0.435     0.001     0.776     0.066
     7.000     0.305     0.807     0.440     0.392     0.671     0.101
     7.000     0.379     0.821     0.380     0.001     0.700     0.127
     7.000     0.809     0.788     0.344     0.001     0.739     0.096
     7.000     0.526     0.811     0.398     0.291     0.691     0.090
     7.000     0.775     0.783     0.368     0.001     0.770     0.068
     7.000     1.152     0.727     0.385     0.001     0.735     0.088
     7.000     0.287     0.806     0.420     0.001     0.675     0.143
     7.000     0.636     0.776     0.399     0.127     0.722     0.091
     7.000     0.437     0.831     0.381     0.570     0.670     0.084
     7.000     0.424     0.826     0.361     0.001     0.709     0.120
     7.000     0.797     0.806     0.318     0.130     0.696     0.116
     7.000     0.352     0.840     0.360     0.286     0.721     0.085
     7.000     0.324     0.826     0.399     0.355     0.727     0.062
     7.000     0.436     0.821     0.398     0.135     0.691     0.107
     7.000     0.285     0.782     0.469     0.095     0.688     0.117
     7.000     0.113     0.862     0.383     0.225     0.668     0.127
     7.000     0.647     0.807     0.364     0.033     0.750     0.075
     7.000     0.739     0.755     0.419     0.016     0.701     0.114
     7.000     0.001     0.839     0.438     0.479     0.655     0.108
     7.000     0.001     0.880     0.380     1.013     0.673     0.043
     7.000     0.974     0.749     0.389     0.143     0.716     0.089
     7.000     0.613     0.799     0.393     0.001     0.681     0.132
     7.000     0.374     0.819     0.388     0.098     0.643     0.156
     7.000     0.251     0.820     0.428     0.038     0.674     0.130
     7.000     0.690     0.768     0.395     0.001     0.776     0.062
     7.000     0.108     0.834     0.439     0.001     0.703     0.112
     7.000     0.251     0.856     0.377     0.001     0.703     0.118
     7.000     0.594     0.752     0.458     0.001     0.690     0.128
     7.000     0.440     0.790     0.435     0.190     0.698     0.098
     7.000     0.168     0.897     0.333     0.255     0.732     0.067
     7.000     0.436     0.874     0.303     0.195     0.728     0.078
     7.000     0.681     0.755     0.421     0.001     0.723     0.105
     7.000     0.669     0.778     0.394     0.001     0.725     0.103
     7.000     0.826     0.758     0.396     0.001     0.752     0.080
     7.000     0.567     0.773     0.438     0.020     0.727     0.095
     7.000     0.001     0.927     0.315     0.693     0.666     0.082
     7.000     0.001     0.912     0.354     0.674     0.645     0.091
     7.000     0.443     0.818     0.388     0.001     0.718     0.102
     7.000     0.337     0.810     0.406     0.644     0.673     0.083
     7.000     0.729     0.758     0.420     0.219     0.729     0.070
     7.000     0.524     0.800     0.390     0.001     0.694     0.128
     7.000     0.768     0.778     0.395     0.001     0.677     0.129
     7.000     0.370     0.810     0.398     0.119     0.729     0.089
     7.000     0.317     0.857     0.365     0.255     0.667     0.114
     7.000     0.396     0.800     0.409     0.112     0.744     0.084
     7.000     0.192     0.818     0.433     0.315     0.661     0.121
     7.000     0.555     0.763     0.432     0.365     0.713     0.079
     7.000     0.458     0.810     0.396     0.053     0.688     0.121
     7.000     0.381     0.797     0.419     0.229     0.720     0.086
     7.000     0.014     0.886     0.361     0.428     0.647     0.127
     7.000     0.426     0.823     0.376     0.327     0.650     0.132
     7.000     0.360     0.829     0.395     0.403     0.662     0.104
     7.000     0.001     0.891     0.372     0.492     0.684     0.087
     7.000     0.581     0.799     0.393     0.154     0.698     0.103
     7.000     0.512     0.845     0.345     0.081     0.701     0.107
     7.000     0.368     0.801     0.432     0.246     0.663     0.120
     7.000     0.555     0.841     0.334     0.679     0.731     0.029
     7.000     0.531     0.790     0.413     0.001     0.717     0.104
     7.000     0.539     0.820     0.365     0.334     0.692     0.089
     7.000     0.733     0.771     0.403     0.001     0.751     0.075
     7.000     0.952     0.791     0.329     0.066     0.722     0.090
     7.000     0.221     0.832     0.392     0.341     0.683     0.104
     7.000     0.547     0.798     0.379     0.492     0.699     0.081
     7.000     0.547     0.793     0.406     0.001     0.718     0.100
     7.000     0.443     0.775     0.451     0.229     0.697     0.096
     7.000     0.360     0.815     0.402     0.431     0.742     0.048
     7.000     0.357     0.807     0.398     0.436     0.726     0.066
     7.000     0.267     0.795     0.435     0.102     0.714     0.105
     7.000     0.521     0.764     0.443     0.723     0.665     0.075
     7.000     0.713     0.742     0.440     0.307     0.711     0.081
     7.000     0.487     0.767     0.441     0.001     0.749     0.083
     7.000     0.153     0.838     0.413     0.001     0.706     0.116
     7.000     0.204     0.845     0.372     0.343     0.735     0.070
     7.000     0.738     0.778     0.383     0.001     0.717     0.109
     7.000     0.779     0.794     0.375     0.248     0.657     0.116
     7.000     0.223     0.809     0.450     0.001     0.683     0.130
     7.000     0.672     0.803     0.376     0.068     0.701     0.108
     7.000     0.488     0.799     0.396     0.138     0.700     0.107
     7.000     0.325     0.843     0.384     0.360     0.650     0.118
     7.000     0.600     0.791     0.391     0.059     0.694     0.121
     7.000     0.549     0.834     0.324     0.001     0.767     0.076
     7.000     0.786     0.783     0.373     0.001     0.755     0.072
     7.000     0.409     0.823     0.388     0.457     0.724     0.052
     7.000     0.493     0.837     0.356     0.197     0.688     0.106
     7.000     0.420     0.822     0.380     0.136     0.689     0.119
     7.000     0.001     0.857     0.415     0.630     0.657     0.097
     7.000     0.273     0.823     0.419     0.270     0.659     0.118
     7.000     0.232     0.847     0.396     0.394     0.633     0.131
     7.000     0.579     0.826     0.342     0.001     0.777     0.063
     7.000     0.327     0.828     0.401     0.379     0.751     0.038
     7.000     0.659     0.770     0.419     0.001     0.730     0.096
     7.000     0.017     0.854     0.424     0.836     0.603     0.111
     7.000     0.512     0.837     0.341     0.001     0.729     0.099
     7.000     0.408     0.784     0.431     0.620     0.696     0.064
     7.000     0.348     0.800     0.424     0.594     0.655     0.095
     7.000     0.607     0.771     0.423     0.331     0.727     0.066
     7.000     0.421     0.845     0.367     0.124     0.721     0.085
     7.000     1.047     0.725     0.385     0.001     0.693     0.132
     7.000     0.533     0.763     0.458     0.554     0.674     0.079
     7.000     0.617     0.784     0.411     0.001     0.703     0.112
     7.000     0.431     0.793     0.430     0.333     0.660     0.114
     7.000     0.687     0.759     0.417     0.001     0.690     0.124
     7.000     0.631     0.798     0.371     0.001     0.701     0.122
     7.000     0.551     0.830     0.351     0.184     0.734     0.074
     7.000     0.630     0.788     0.380     0.477     0.724     0.056
     7.000     0.684     0.771     0.408     0.001     0.704     0.112
     7.000     0.992     0.752     0.372     0.207     0.729     0.074
     7.000     0.324     0.851     0.363     0.001     0.704     0.115
     7.000     0.407     0.838     0.359     0.267     0.673     0.119
     7.000     0.745     0.762     0.399     0.001     0.711     0.109
     7.000     0.399     0.831     0.384     0.629     0.696     0.061
     7.000     0.365     0.803     0.415     0.250     0.692     0.103
     7.000     0.362     0.807     0.416     0.030     0.688     0.126
     7.000     0.999     0.761     0.356     0.001     0.773     0.061
     7.000     0.792     0.763     0.411     0.001     0.741     0.080
     7.000     0.001     0.862     0.401     0.615     0.671     0.086
     7.000     0.305     0.812     0.429     0.593     0.673     0.081
     7.000     0.497     0.842     0.329     0.345     0.735     0.065
     7.000     0.001     0.828     0.447     0.422     0.658     0.110
     7.000     0.722     0.745     0.427     0.001     0.690     0.131
     7.000     0.513     0.778     0.421     0.001     0.728     0.100
     7.000     0.760     0.779     0.377     0.179     0.747     0.067
     7.000     0.547     0.765     0.458     0.001     0.690     0.123
     7.000     0.356     0.783     0.458     0.295     0.671     0.107
     7.000     1.042     0.741     0.377     0.001     0.757     0.073
     7.000     0.668     0.793     0.371     0.022     0.731     0.094
     7.000     0.415     0.792     0.418     0.251     0.707     0.094
     7.000     0.312     0.811     0.415     0.064     0.725     0.097
     7.000     0.641     0.786     0.397     0.224     0.735     0.066
     7.000     0.688     0.793     0.379     0.193     0.694     0.103
     7.000     0.265     0.833     0.403     0.406     0.628     0.136
     7.000     0.805     0.755     0.404     0.033     0.740     0.082
     7.000     0.867     0.778     0.360     0.001     0.739     0.090
     7.000     0.477     0.806     0.377     0.184     0.708     0.104
     7.000     1.001     0.764     0.343     0.001     0.721     0.104
     7.000     0.136     0.819     0.437     0.338     0.688     0.100
     7.000     0.001     0.860     0.401     0.411     0.687     0.094
     7.000     0.603     0.777     0.393     0.382     0.705     0.087
     7.000     0.406     0.850     0.359     0.284     0.697     0.088
     7.000     1.033     0.750     0.367     0.009     0.715     0.103
     7.000     0.689     0.784     0.390     0.149     0.733     0.078
     7.000     0.161     0.877     0.356     0.324     0.726     0.069
     7.000     0.356     0.796     0.440     0.273     0.674     0.110
     7.000     0.590     0.810     0.365     0.351     0.705     0.084
     7.000     0.687     0.802     0.374     0.036     0.707     0.107
     7.000     0.610     0.791     0.383     0.001     0.748     0.083
     7.000     0.274     0.821     0.411     0.082     0.678     0.127
     7.000     0.506     0.776     0.436     0.053     0.709     0.101
     7.000     0.272     0.819     0.420     0.001     0.735     0.091
     7.000     0.064     0.837     0.437     0.542     0.672     0.089
     7.000     0.736     0.752     0.417     0.001     0.703     0.116
     7.000     0.514     0.804     0.398     0.167     0.698     0.103
     7.000     0.081     0.827     0.440     0.859     0.621     0.097
     7.000     0.553     0.791     0.402     0.001     0.731     0.096
     7.000     0.279     0.879     0.336     0.001     0.693     0.121
     7.000     0.140     0.866     0.367     0.608     0.671     0.089
     7.000     0.566     0.772     0.428     0.001     0.725     0.097
     7.000     0.575     0.793     0.392     0.333     0.696     0.092
     7.000     0.523     0.821     0.361     0.208     0.732     0.078
     7.000     0.782     0.778     0.369     0.001     0.750     0.084
     7.000     0.725     0.777     0.406     0.001     0.741     0.080
     7.000     0.879     0.747     0.398     0.233     0.729     0.077
     7.000     0.543     0.749     0.468     0.001     0.749     0.078
     7.000     0.033     0.841     0.446     0.646     0.688     0.060
     7.000     0.478     0.794     0.411     0.532     0.618     0.129
     7.000     0.560     0.781     0.431     0.225     0.649     0.134
     7.000     0.602     0.774     0.411     0.001     0.743     0.088
     7.000     0.051     0.850     0.409     0.684     0.650     0.092
     7.000     0.875     0.725     0.422     0.001     0.738     0.092
     7.000     0.536     0.748     0.475     0.518     0.691     0.070
     7.000     0.825     0.771     0.387     0.041     0.678     0.133
     7.000     0.515     0.812     0.373     0.001     0.750     0.084
     7.000     0.353     0.749     0.504     0.003     0.697     0.116
     7.000     0.121     0.848     0.400     0.361     0.676     0.106
     7.000     0.793     0.788     0.359     0.001     0.720     0.101
     7.000     0.387     0.801     0.421     0.354     0.684     0.097
     7.000     0.001     0.863     0.416     0.604     0.593     0.143
     7.000     0.597     0.775     0.405     0.001     0.704     0.119
     7.000     0.707     0.778     0.398     0.001     0.686     0.129
     7.000     0.912     0.731     0.430     0.001     0.693     0.118
     7.000     0.685     0.816     0.337     0.480     0.688     0.084
     7.000     0.174     0.833     0.403     0.692     0.668     0.083
     7.000     0.001     0.888     0.374     0.482     0.716     0.060
     7.000     0.642     0.829     0.342     0.001     0.699     0.118
