     7.000     1.334     0.619     0.106     0.001     0.513     0.437
     7.000     0.527     0.686     0.186     2.332     0.297     0.424
     7.000     0.530     0.685     0.209     0.687     0.292     0.568
     7.000     0.536     0.690     0.229     1.742     0.236     0.460
     7.000     0.744     0.738     0.092     0.861     0.335     0.511
     8.000     0.545     0.726     0.156     1.396     0.598     0.251
     7.000     0.464     0.708     0.195     0.450     0.380     0.499
     7.000     0.212     0.768     0.189     0.001     0.097     0.732
     7.000     0.338     0.766     0.163     0.449     0.615     0.305
     4.000     0.750     0.778     0.001     0.368     0.456     0.451
     7.000     0.764     0.697     0.151     2.395     0.472     0.237
     6.000     0.600     0.776     0.085     0.011     0.393     0.545
     7.000     0.801     0.630     0.203     0.001     0.363     0.575
     7.000     0.594     0.725     0.148     0.217     0.214     0.631
     8.000     0.481     0.698     0.202     2.156     0.265     0.412
     7.000     0.807     0.693     0.135     1.558     0.272     0.467
     8.000     0.548     0.641     0.247     0.988     0.369     0.485
     8.000     0.457     0.705     0.193     0.001     0.425     0.515
     7.000     0.364     0.664     0.270     1.483     0.328     0.459
     7.000     0.573     0.731     0.130     0.315     0.379     0.527
     7.000     0.422     0.816     0.087     0.001     0.291     0.630
     7.000     0.469     0.811     0.057     1.874     0.247     0.441
     6.000     0.197     0.852     0.106     0.001     0.433     0.466
     7.000     0.462     0.665     0.238     0.984     0.347     0.476
     7.000     0.540     0.657     0.239     0.551     0.338     0.528
     9.000     0.615     0.659     0.217     5.402     0.333     0.145
     7.000     0.239     0.825     0.122     1.294     0.338     0.442
     5.000     0.213     0.750     0.194     0.735     0.467     0.383
     4.000     1.154     0.682     0.001     0.348     0.401     0.522
     7.000     0.730     0.709     0.167     0.265     0.520     0.399
     8.000     0.931     0.636     0.173     1.160     0.374     0.469
     7.000     0.440     0.763     0.153     0.913     0.192     0.565
     8.000     0.290     0.784     0.142     1.630     0.426     0.344
     7.000     0.411     0.702     0.237     0.001     0.312     0.600
     7.000     0.810     0.566     0.317     0.815     0.309     0.525
     7.000     0.298     0.773     0.162     1.556     0.353     0.418
     7.000     0.423     0.635     0.306     0.571     0.406     0.485
     7.000     0.355     0.732     0.197     0.928     0.416     0.427
     7.000     0.331     0.738     0.183     0.675     0.463     0.405
     7.000     0.443     0.713     0.197     1.437     0.367     0.442
     8.000     0.945     0.522     0.305     4.568     0.246     0.229
     7.000     0.577     0.666     0.229     2.721     0.127     0.479
     7.000     0.847     0.691     0.138     0.779     0.175     0.614
     5.000     0.643     0.744     0.093     0.152     0.453     0.489
     9.000     1.101     0.607     0.203     2.531     0.334     0.377
     8.000     0.848     0.655     0.202     0.087     0.280     0.574
     8.000     0.814     0.601     0.246     3.788     0.498     0.121
     7.000     0.683     0.771     0.114     0.207     0.389     0.514
     6.000     0.610     0.839     0.001     0.894     0.374     0.455
     7.000     0.219     0.773     0.197     0.970     0.369     0.437
     4.000     0.945     0.421     0.515     0.003     0.382     0.567
     6.000     0.665     0.681     0.179     0.603     0.398     0.466
     7.000     0.547     0.735     0.137     1.574     0.427     0.319
     7.000     0.375     0.711     0.223     0.163     0.331     0.561
     9.000     0.512     0.629     0.289     1.675     0.341     0.428
     4.000     0.188     0.723     0.303     0.206     0.590     0.354
     7.000     0.483     0.716     0.168     0.001     0.400     0.541
     7.000     0.514     0.706     0.189     0.001     0.433     0.509
     7.000     0.430     0.705     0.210     1.114     0.341     0.465
     7.000     0.611     0.664     0.182     1.409     0.382     0.427
     7.000     0.478     0.679     0.223     1.952     0.512     0.243
     7.000     0.785     0.648     0.204     2.120     0.288     0.422
     7.000     0.544     0.785     0.093     0.999     0.357     0.453
     7.000     0.807     0.697     0.133     0.844     0.545     0.339
     7.000     0.719     0.702     0.160     3.149     0.229     0.373
     5.000     0.783     0.599     0.205     1.069     0.356     0.486
     9.000     0.838     0.599     0.263     0.001     0.487     0.454
     5.000     1.091     0.716     0.001     0.001     0.580     0.391
     7.000     1.130     0.679     0.093     0.001     0.417     0.528
     3.000     0.562     0.698     0.073     0.850     0.545     0.298
     6.000     0.395     0.762     0.137     0.004     0.589     0.373
     7.000     0.368     0.747     0.187     0.001     0.414     0.510
     7.000     0.961     0.688     0.111     2.157     0.419     0.265
